"epoch","Depthwise lenet WDA - test_acc","Depthwise lenet WDA - test_acc__MIN","Depthwise lenet WDA - test_acc__MAX","Depthwise lenet WDA - _step","Depthwise lenet WDA - _step__MIN","Depthwise lenet WDA - _step__MAX"
"227","0.6958041787147522","0.6958041787147522","0.6958041787147522","454","454","454"
"228","0.7215909361839294","0.7215909361839294","0.7215909361839294","456","456","456"
"229","0.7416958212852478","0.7416958212852478","0.7416958212852478","458","458","458"
"230","0.751311182975769","0.751311182975769","0.751311182975769","460","460","460"
"231","0.7373251914978027","0.7373251914978027","0.7373251914978027","462","462","462"
"232","0.7495629191398621","0.7495629191398621","0.7495629191398621","464","464","464"
"233","0.7325174808502197","0.7325174808502197","0.7325174808502197","466","466","466"
"234","0.6241258978843689","0.6241258978843689","0.6241258978843689","468","468","468"
"235","0.6193181872367859","0.6193181872367859","0.6193181872367859","470","470","470"
"236","0.679632842540741","0.679632842540741","0.679632842540741","472","472","472"
"237","0.681381106376648","0.681381106376648","0.681381106376648","474","474","474"
"238","0.6971153616905212","0.6971153616905212","0.6971153616905212","476","476","476"
"239","0.7298951148986816","0.7298951148986816","0.7298951148986816","478","478","478"
"240","0.7294580340385437","0.7294580340385437","0.7294580340385437","480","480","480"
"241","0.7403846383094788","0.7403846383094788","0.7403846383094788","482","482","482"
"242","0.7478147149085999","0.7478147149085999","0.7478147149085999","484","484","484"
"243","0.7268356680870056","0.7268356680870056","0.7268356680870056","486","486","486"
"244","0.7268356680870056","0.7268356680870056","0.7268356680870056","488","488","488"
"245","0.7456293702125549","0.7456293702125549","0.7456293702125549","490","490","490"
"246","0.7316433787345886","0.7316433787345886","0.7316433787345886","492","492","492"
"247","0.7460664510726929","0.7460664510726929","0.7460664510726929","494","494","494"
"248","0.7351398468017578","0.7351398468017578","0.7351398468017578","496","496","496"
"249","0.7386363744735718","0.7386363744735718","0.7386363744735718","498","498","498"
"250","0.7425699234008789","0.7425699234008789","0.7425699234008789","500","500","500"
"251","0.684440553188324","0.684440553188324","0.684440553188324","502","502","502"
"252","0.6988636255264282","0.6988636255264282","0.6988636255264282","504","504","504"
"253","0.6883741021156311","0.6883741021156311","0.6883741021156311","506","506","506"
"254","0.7089160680770874","0.7089160680770874","0.7089160680770874","508","508","508"
"255","0.746940553188324","0.746940553188324","0.746940553188324","510","510","510"
"256","0.7329545617103577","0.7329545617103577","0.7329545617103577","512","512","512"
"257","0.7154720425605774","0.7154720425605774","0.7154720425605774","514","514","514"
"258","0.7154720425605774","0.7154720425605774","0.7154720425605774","516","516","516"
"259","0.7006118893623352","0.7006118893623352","0.7006118893623352","518","518","518"
"260","0.7211538553237915","0.7211538553237915","0.7211538553237915","520","520","520"
"261","0.7054196000099182","0.7054196000099182","0.7054196000099182","522","522","522"
"262","0.746503472328186","0.746503472328186","0.746503472328186","524","524","524"
"263","0.753496527671814","0.753496527671814","0.753496527671814","526","526","526"
"264","0.7364510297775269","0.7364510297775269","0.7364510297775269","528","528","528"
"265","0.7312062978744507","0.7312062978744507","0.7312062978744507","530","530","530"
"266","0.7154720425605774","0.7154720425605774","0.7154720425605774","532","532","532"
"267","0.7172203063964844","0.7172203063964844","0.7172203063964844","534","534","534"
"268","0.7250874042510986","0.7250874042510986","0.7250874042510986","536","536","536"
"269","0.7246503233909607","0.7246503233909607","0.7246503233909607","538","538","538"
"270","0.7255244851112366","0.7255244851112366","0.7255244851112366","540","540","540"
"271","0.6516608595848083","0.6516608595848083","0.6516608595848083","542","542","542"
"272","0.7194055914878845","0.7194055914878845","0.7194055914878845","544","544","544"
"273","0.748688817024231","0.748688817024231","0.748688817024231","546","546","546"
"274","0.7268356680870056","0.7268356680870056","0.7268356680870056","548","548","548"
"275","0.7255244851112366","0.7255244851112366","0.7255244851112366","550","550","550"
"276","0.7478147149085999","0.7478147149085999","0.7478147149085999","552","552","552"
"277","0.7132866978645325","0.7132866978645325","0.7132866978645325","554","554","554"
"278","0.753496527671814","0.753496527671814","0.753496527671814","556","556","556"
"279","0.7447552680969238","0.7447552680969238","0.7447552680969238","558","558","558"
"280","0.7491258978843689","0.7491258978843689","0.7491258978843689","560","560","560"
"281","0.7268356680870056","0.7268356680870056","0.7268356680870056","562","562","562"
"282","0.7526223659515381","0.7526223659515381","0.7526223659515381","564","564","564"
"283","0.6979895234107971","0.6979895234107971","0.6979895234107971","566","566","566"
"284","0.689248263835907","0.689248263835907","0.689248263835907","568","568","568"
"285","0.6761363744735718","0.6761363744735718","0.6761363744735718","570","570","570"
"286","0.7368881106376648","0.7368881106376648","0.7368881106376648","572","572","572"
"287","0.7495629191398621","0.7495629191398621","0.7495629191398621","574","574","574"
"288","0.746940553188324","0.746940553188324","0.746940553188324","576","576","576"
"289","0.7381992936134338","0.7381992936134338","0.7381992936134338","578","578","578"
